 Antal dgr;Tabellnr;Inkomst fr.o.m.;Inkomst t.o.m.;Kolumn 1;Kolumn 2;Kolumn 3;Kolumn 4;Kolumn 5;Kolumn 6
30B;29;56801;57000;18717;19576;17286;17286;20417;20417
30B;29;57001;57200;18831;19684;17400;17400;20525;20525
30B;29;57201;57400;18945;19792;17514;17514;20633;20633
30B;29;57401;57600;19059;19900;17628;17628;20741;20741
30B;29;57601;57800;19173;20008;17742;17742;20849;20849
30B;29;57801;58000;19287;20116;17856;17856;20957;20957
30B;29;58001;58200;19401;20224;17970;17970;21065;21065
30B;29;58201;58400;19515;20332;18084;18084;21173;21173
30B;29;58401;58600;19629;20440;18198;18198;21281;21281
30B;29;58601;58800;19743;20548;18312;18312;21389;21389
30B;29;58801;59000;19857;20656;18426;18426;21497;21497
30B;29;59001;59200;19971;20764;18540;18540;21605;21605
30B;29;59201;59400;20085;20872;18654;18654;21713;21713
30B;29;59401;59600;20199;20980;18768;18768;21821;21821
30B;29;59601;59800;20313;21088;18882;18882;21929;21929
30B;29;59801;60000;20427;21196;18996;18996;22037;22037
30B;29;60001;60200;20541;21304;19110;19110;22145;22145
30B;29;60201;60400;20655;21412;19224;19224;22253;22253
30B;29;60401;60600;20769;21520;19338;19338;22361;22361
30B;29;60601;60800;20883;21628;19452;19452;22469;22469
30B;29;60801;61000;20997;21736;19566;19566;22577;22577
30B;29;61001;61200;21111;21844;19680;19680;22685;22685
30B;29;61201;61400;21225;21952;19794;19794;22793;22793
30B;29;61401;61600;21339;22060;19908;19908;22901;22901
30B;29;61601;61800;21453;22168;20022;20022;23009;23009
30B;29;61801;62000;21567;22276;20136;20136;23117;23117
30B;29;62001;62200;21681;22384;20250;20250;23225;23225
30B;29;62201;62400;21795;22492;20364;20364;23333;23333
30B;29;62401;62600;21909;22600;20478;20478;23441;23441
30B;29;62601;62800;22023;22708;20592;20592;23549;23549
30B;29;62801;63000;22137;22816;20706;20706;23657;23657
30B;29;63001;63200;22251;22924;20820;20820;23765;23765
30B;29;63201;63400;22365;23032;20934;20934;23873;23873
30B;29;63401;63600;22479;23140;21048;21048;23981;23981
30B;29;63601;63800;22593;23248;21162;21162;24089;24089
30B;29;63801;64000;22707;23356;21276;21276;24197;24197
30B;29;64001;64200;22821;23464;21390;21390;24305;24305
30B;29;64201;64400;22935;23572;21504;21504;24413;24413
30B;29;64401;64600;23049;23680;21618;21618;24521;24521
30B;29;64601;64800;23163;23788;21732;21732;24629;24629
30B;29;64801;65000;23277;23896;21846;21846;24737;24737
30B;29;65001;65200;23391;24004;21960;21960;24845;24845
30B;29;65201;65400;23505;24112;22074;22074;24953;24953
30B;29;65401;65600;23619;24220;22188;22188;25061;25061
30B;29;65601;65800;23733;24328;22302;22302;25169;25169
30B;29;65801;66000;23847;24436;22416;22416;25277;25277
30B;29;66001;66200;23961;24544;22530;22530;25385;25385
30B;29;66201;66400;24075;24652;22644;22644;25493;25493
30B;29;66401;66600;24189;24760;22758;22758;25601;25601
30B;29;66601;66800;24303;24868;22872;22872;25709;25709
30B;29;66801;67000;24417;24976;22986;22986;25817;25817
30B;29;67001;67200;24531;25084;23100;23100;25925;25925
30B;29;67201;67400;24645;25192;23214;23214;26033;26033
30B;29;67401;67600;24759;25300;23328;23328;26141;26141
30B;29;67601;67800;24873;25408;23442;23442;26249;26249
30B;29;67801;68000;24987;25516;23556;23556;26357;26357
30B;29;68001;68200;25101;25624;23670;23670;26465;26465
30B;29;68201;68400;25215;25732;23784;23784;26573;26573
30B;29;68401;68600;25329;25840;23898;23898;26681;26681
30B;29;68601;68800;25443;25948;24012;24012;26789;26789
30B;29;68801;69000;25557;26056;24126;24126;26897;26897
30B;29;69001;69200;25671;26164;24240;24240;27005;27005
30B;29;69201;69400;25785;26272;24354;24354;27113;27113
30B;29;69401;69600;25899;26380;24468;24468;27221;27221
30B;29;69601;69800;26013;26488;24582;24582;27329;27329
30B;29;69801;70000;26127;26596;24696;24696;27437;27437
30B;29;70001;70200;26241;26704;24810;24810;27545;27545
30B;29;70201;70400;26355;26812;24924;24924;27653;27653
30B;29;70401;70600;26469;26920;25038;25038;27761;27761
30B;29;70601;70800;26583;27028;25152;25152;27869;27869
30B;29;70801;71000;26697;27136;25266;25266;27977;27977
30B;29;71001;71200;26811;27244;25380;25380;28085;28085
30B;29;71201;71400;26925;27352;25494;25494;28193;28193
30B;29;71401;71600;27039;27460;25608;25608;28301;28301
30B;29;71601;71800;27153;27568;25722;25722;28409;28409
30B;29;71801;72000;27267;27676;25836;25836;28517;28517
30B;29;72001;72200;27381;27784;25950;25950;28625;28625
30B;29;72201;72400;27495;27892;26064;26064;28733;28733
30B;29;72401;72600;27609;28000;26178;26178;28841;28841
30B;29;72601;72800;27723;28108;26292;26292;28949;28949
30B;29;72801;73000;27837;28216;26406;26406;29057;29057
30B;29;73001;73200;27951;28324;26520;26520;29165;29165
30B;29;73201;73400;28065;28432;26634;26634;29273;29273
30B;29;73401;73600;28179;28540;26748;26748;29381;29381
30B;29;73601;73800;28293;28648;26862;26862;29489;29489
30B;29;73801;74000;28407;28756;26976;26976;29597;29597
30B;29;74001;74200;28521;28864;27090;27090;29705;29705
30B;29;74201;74400;28635;28972;27204;27204;29813;29813
30B;29;74401;74600;28749;29080;27318;27318;29921;29921
30B;29;74601;74800;28863;29188;27432;27432;30029;30029
30B;29;74801;75000;28977;29296;27546;27546;30137;30137
30B;29;75001;75200;29091;29404;27660;27660;30245;30245
30B;29;75201;75400;29205;29512;27774;27774;30353;30353
30B;29;75401;75600;29319;29620;27888;27888;30461;30461
30B;29;75601;75800;29433;29728;28002;28002;30569;30569
30B;29;75801;76000;29547;29836;28116;28116;30677;30677
30B;29;76001;76200;29661;29944;28230;28230;30785;30785
30B;29;76201;76400;29775;30052;28344;28344;30893;30893
30B;29;76401;76600;29889;30160;28458;28458;31001;31001
30B;29;76601;76800;30003;30268;28572;28572;31109;31109
